Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2018,Finance,The River District PBID,"Charges, Fees, and Services",496306,R,Other Governmental Funds,2816
2018,Finance,Township 9 CFD No. 2012-06,"Charges, Fees, and Services",30776,R,Other Governmental Funds,2817
2018,Finance,Transportation Development,Intergovernmental,350000,R,Other Governmental Funds,2818
2018,Finance,Village Garden N.-Mtce Dist #1,"Charges, Fees, and Services",26786,R,Other Governmental Funds,2819
2018,Finance,Willowcreek Assmnt Md,"Charges, Fees, and Services",41085,R,Other Governmental Funds,2820
2018,Finance,Willowcreek Lndscpng CFD,"Charges, Fees, and Services",80000,R,Other Governmental Funds,2821
2018,Fire,General Fund,City Property,1469113,E,General Fund,2822
2018,Fire,General Fund,Employee Services,108121478,E,General Fund,2823
2018,Fire,General Fund,Labor and Supply Offset,-14221120,E,General Fund,2824
2018,Fire,General Fund,Other Services and Supplies,12665701,E,General Fund,2825
2018,Fire,General Fund,Transfers,0,E,General Fund,2826
2018,Fire,Risk Mgmt Fund,Labor and Supply Offset,500000,E,Risk Management,2827
2018,Fire,General Fund,"Charges, Fees, and Services",19362890,R,General Fund,2828
2018,Fire,General Fund,Intergovernmental,5300000,R,General Fund,2829
2018,Fire,General Fund,Licenses and Permits,797381,R,General Fund,2830
2018,Human Resources,Recycling and Solid Waste,Labor and Supply Offset,117545,E,Enterprise Funds,2831
2018,Human Resources,Storm Drainage Fund,Labor and Supply Offset,45189,E,Enterprise Funds,2832
2018,Human Resources,Wastewater Fund,Labor and Supply Offset,18585,E,Enterprise Funds,2833
2018,Human Resources,Water Fund,Labor and Supply Offset,57700,E,Enterprise Funds,2834
2018,Human Resources,General Fund,City Property,6500,E,General Fund,2835
2018,Human Resources,General Fund,Employee Services,4788254,E,General Fund,2836
2018,Human Resources,General Fund,Labor and Supply Offset,-1617645,E,General Fund,2837
2018,Human Resources,General Fund,Other Services and Supplies,648358,E,General Fund,2838
2018,Human Resources,Fleet Management Fund,Labor and Supply Offset,59614,E,Internal Service Funds,2839
2018,Human Resources,Interdepartmental Service Fund,Labor and Supply Offset,1071544,E,Other Governmental Funds,2840
2018,Human Resources,Risk Mgmt Fund,City Property,15500,E,Risk Management,2841
2018,Human Resources,Risk Mgmt Fund,Employee Services,2605118,E,Risk Management,2842
2018,Human Resources,Risk Mgmt Fund,Labor and Supply Offset,3222578,E,Risk Management,2843
2018,Human Resources,Risk Mgmt Fund,Other Services and Supplies,14276061,E,Risk Management,2844
2018,Human Resources,Worker's Compensation Fund,City Property,17500,E,Risk Management,2845
2018,Human Resources,Worker's Compensation Fund,Employee Services,2121240,E,Risk Management,2846
2018,Human Resources,Worker's Compensation Fund,Labor and Supply Offset,456450,E,Risk Management,2847
2018,Human Resources,Worker's Compensation Fund,Other Services and Supplies,10126467,E,Risk Management,2848
2018,Human Resources,General Fund,"Charges, Fees, and Services",0,R,General Fund,2849
2018,Human Resources,Risk Mgmt Fund,"Charges, Fees, and Services",350000,R,Risk Management,2850
2018,Human Resources,Risk Mgmt Fund,Miscellaneous Revenue,16754001,R,Risk Management,2851
2018,Human Resources,Worker's Compensation Fund,Miscellaneous Revenue,12707000,R,Risk Management,2852
2018,Public Works,Fleet Management Fund,Employee Services,7104697,E,Internal Service Funds,2853
2018,Utilities,Parking Fund,Labor and Supply Offset,1359,E,Enterprise Funds,2854
2019,City Clerk,General Fund,Employee Services,2025790,E,General Fund,2855
2018,Public Works,Fleet Management Fund,Labor and Supply Offset,1523417,E,Internal Service Funds,2856
2018,Finance,Neighborhood Park Maint CFD,Labor and Supply Offset,24796,E,Other Governmental Funds,2857
2018,Utilities,Recycling and Solid Waste,Labor and Supply Offset,899223,E,Enterprise Funds,2858
2018,Information Technology,Community Center Fund,Labor and Supply Offset,925,E,Enterprise Funds,2859
2018,Public Works,Fleet Management Fund,Other Services and Supplies,17097850,E,Internal Service Funds,2860
2018,Finance,Neighborhood Water Quality Dist,Labor and Supply Offset,12613,E,Other Governmental Funds,2861
2018,Utilities,Recycling and Solid Waste,Other Services and Supplies,2000,E,Enterprise Funds,2862
2019,City Clerk,General Fund,Labor and Supply Offset,-945725,E,General Fund,2863
2018,Information Technology,Parking Fund,Labor and Supply Offset,56228,E,Enterprise Funds,2864
