Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2016,Parks and Recreation,4th R Program,Intergovernmental,623695,R,Other Governmental Funds,1788
2016,Parks and Recreation,4th R Program,Miscellaneous Revenue,4000,R,Other Governmental Funds,1789
2016,Parks and Recreation,Golf Fund,"Charges, Fees, and Services",1365460,R,Other Governmental Funds,1790
2016,Parks and Recreation,Golf Fund,Miscellaneous Revenue,114351,R,Other Governmental Funds,1791
2016,Parks and Recreation,Land Park,"Charges, Fees, and Services",91000,R,Other Governmental Funds,1792
2016,Parks and Recreation,Special Recreation,"Charges, Fees, and Services",2348445,R,Other Governmental Funds,1793
2016,Parks and Recreation,Special Recreation,Intergovernmental,17500,R,Other Governmental Funds,1794
2016,Parks and Recreation,Special Recreation,Licenses and Permits,19500,R,Other Governmental Funds,1795
2016,Parks and Recreation,Special Recreation,Miscellaneous Revenue,12500,R,Other Governmental Funds,1796
2016,Parks and Recreation,START Fund,"Charges, Fees, and Services",223000,R,Other Governmental Funds,1797
2016,Parks and Recreation,START Fund,Intergovernmental,4017845,R,Other Governmental Funds,1798
2016,Police,General Fund,City Property,2746636,E,General Fund,1799
2016,Police,General Fund,Employee Services,135911510,E,General Fund,1800
2016,Police,General Fund,Labor and Supply Offset,-23934633,E,General Fund,1801
2016,Police,General Fund,Operating Transfers,1416280,E,General Fund,1802
2016,Police,General Fund,Other Services and Supplies,8748586,E,General Fund,1803
2016,Police,General Fund,Transfers,-272360,E,General Fund,1804
2016,Police,Interdepartmental Service Fund,Labor and Supply Offset,117423,E,Other Governmental Funds,1805
2016,Police,Risk Mgmt Fund,Labor and Supply Offset,545075,E,Risk Management,1806
2016,Police,General Fund,"Charges, Fees, and Services",8707499,R,General Fund,1807
2016,Police,General Fund,"Fines, Forfeitures, and  Penalties",447000,R,General Fund,1808
2016,Police,General Fund,Intergovernmental,657000,R,General Fund,1809
2016,Police,General Fund,Licenses and Permits,1034000,R,General Fund,1810
2016,Police,Traffic Safety Fund,"Fines, Forfeitures, and  Penalties",600000,R,Other Governmental Funds,1811
2016,Public Works,Parking Fund,City Property,88695,E,Enterprise Funds,1812
2016,Human Resources,Interdepartmental Service Fund,Labor and Supply Offset,1339935,E,Other Governmental Funds,1813
2016,City Attorney,General Fund,City Property,13750,E,General Fund,1814
2016,Debt Service,Community Center Fund,City Debt Service,10194037,E,Enterprise Funds,1815
2016,Community Development,General Fund,City Property,232635,E,General Fund,1816
2016,Debt Service,Parking Fund,City Debt Service,7201392,E,Enterprise Funds,1817
2016,Community Development,General Fund,Employee Services,23077141,E,General Fund,1818
2016,Debt Service,Recycling and Solid Waste,City Debt Service,3793773,E,Enterprise Funds,1819
2016,Community Development,General Fund,Labor and Supply Offset,-1544571,E,General Fund,1820
2016,Debt Service,Storm Drainage Fund,City Debt Service,3662004,E,Enterprise Funds,1821
2016,Community Development,General Fund,Operating Transfers,490000,E,General Fund,1822
2016,Human Resources,Risk Mgmt Fund,City Property,25606,E,Risk Management,1823
2016,Community Development,General Fund,Other Services and Supplies,4224162,E,General Fund,1824
2016,Human Resources,Risk Mgmt Fund,Employee Services,2739347,E,Risk Management,1825
2016,City Attorney,General Fund,Employee Services,6906589,E,General Fund,1826
2016,Debt Service,Wastewater Fund,City Debt Service,3034884,E,Enterprise Funds,1827
2016,Community Development,Citywide Low Income Housing Fund,Other Services and Supplies,300000,E,Other Governmental Funds,1828
2016,Debt Service,Wastewater Revenue Bonds,City Debt Service,0,E,Enterprise Funds,1829
2016,Community Development,Development Services Fund,Operating Transfers,-490000,E,Other Governmental Funds,1830
2016,City Attorney,General Fund,Labor and Supply Offset,-2298136,E,General Fund,1831
2016,Human Resources,Risk Mgmt Fund,Labor and Supply Offset,2541412,E,Risk Management,1832
2016,Debt Service,Water Fund,City Debt Service,27135062,E,Enterprise Funds,1833
2016,Community Development,Landscaping and Lighting,Labor and Supply Offset,150000,E,Other Governmental Funds,1834
2016,City Attorney,General Fund,Other Services and Supplies,242865,E,General Fund,1835
2016,Human Resources,Risk Mgmt Fund,Other Services and Supplies,12031423,E,Risk Management,1836
2016,Debt Service,Water Revenue Bonds,City Debt Service,0,E,Enterprise Funds,1837
2016,Community Development,Willowcreek Lndscpng CFD,Labor and Supply Offset,0,E,Other Governmental Funds,1838
2016,City Attorney,General Fund,Transfers,19779,E,General Fund,1839
2016,Human Resources,Worker's Compensation Fund,City Property,17500,E,Risk Management,1840
2016,Debt Service,General Fund,City Debt Service,23983596,E,General Fund,1841
2016,Community Development,Worker's Compensation Fund,Other Services and Supplies,0,E,Risk Management,1842
